date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests
31/12/2019,0,0,0,0,0,0
01/01/2020,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0
04/01/2020,0,0,0,0,0,0
05/01/2020,0,0,0,0,0,0
06/01/2020,0,0,0,0,0,0
07/01/2020,0,0,0,0,0,0
08/01/2020,0,0,0,0,0,0
09/01/2020,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0
11/01/2020,0,0,0,0,0,0
12/01/2020,0,0,0,0,0,0
13/01/2020,0,0,0,0,0,0
14/01/2020,0,0,0,0,0,0
15/01/2020,0,0,0,0,0,0
16/01/2020,0,0,0,0,0,0
17/01/2020,0,0,0,0,0,0
18/01/2020,0,0,0,0,0,0
19/01/2020,0,0,0,0,0,0
20/01/2020,0,0,0,0,0,0
21/01/2020,0,0,0,0,0,0
22/01/2020,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0
27/02/2020,2,2,0,0,0,0
28/02/2020,2,0,0,0,0,0
29/02/2020,2,0,0,0,0,0
01/03/2020,4,2,0,0,0,0
02/03/2020,4,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,5,1,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,6,1,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,16,10,0,0,0,0
11/03/2020,16,0,0,0,471,0
12/03/2020,20,4,0,0,531,60
13/03/2020,21,1,0,0,609,78
14/03/2020,21,0,0,0,684,75
15/03/2020,30,9,0,0,833,149
16/03/2020,31,1,0,0,1125,292
17/03/2020,187,156,0,0,1141,16
18/03/2020,187,0,0,0,2163,1022
19/03/2020,302,115,0,0,3410,1247
20/03/2020,478,176,2,2,4001,591
21/03/2020,495,17,3,1,5225,1224
22/03/2020,646,151,3,0,5444,219
23/03/2020,784,138,5,2,5857,413
24/03/2020,887,103,6,1,6123,266
25/03/2020,991,104,7,1,6449,326
26/03/2020,1057,66,8,1,7835,1386
27/03/2020,1197,140,9,1,13231,5396
28/03/2020,1197,0,9,0,14336,1105
29/03/2020,1408,211,11,2,14748,412
30/03/2020,1526,118,13,2,15683,935
31/03/2020,1625,99,18,5,15967,284
01/04/2020,2039,414,26,8,17324,1357
02/04/2020,2291,252,31,5,30308,12984
03/04/2020,2291,0,31,0,32930,2622
04/04/2020,2291,0,31,0,34885,1955
05/04/2020,2450,159,35,4,35875,990
06/04/2020,3277,827,50,15,39183,3308
07/04/2020,3864,587,54,4,42159,2976
08/04/2020,4072,208,58,4,44896,2737
09/04/2020,4322,250,63,5,54706,9810
10/04/2020,4601,279,66,3,57836,3130
11/04/2020,4788,187,71,5,61801,3965
12/04/2020,5038,250,86,15,65114,3313
13/04/2020,5374,336,93,7,69928,4814
14/04/2020,5716,342,96,3,73439,3511
15/04/2020,5988,272,107,11,78979,5540
16/04/2020,6505,517,124,17,84704,5725
17/04/2020,7025,520,135,11,92548,7844
18/04/2020,7481,456,143,8,98522,5974
19/04/2020,7993,512,159,16,104302,5780
20/04/2020,8418,425,176,17,0,0
21/04/2020,9216,798,192,16,111806,0
22/04/2020,9749,533,209,17,118020,6214
23/04/2020,9749,0,209,0,124549,6529
24/04/2020,11155,1406,237,28,131365,6816
25/04/2020,11940,785,253,16,138147,6782
26/04/2020,12723,783,269,16,144365,6218
27/04/2020,13328,605,281,12,150756,6391
28/04/2020,14079,751,301,20,157223,6467
29/04/2020,14885,806,327,26,165911,8688
30/04/2020,15759,874,346,19,174160,8249
01/05/2020,16817,1058,385,39,182131,7971
02/05/2020,18114,1297,417,32,193859,11728
03/05/2020,19103,989,440,23,203025,9166
04/05/2020,20186,1083,462,22,212511,9486
05/05/2020,21501,1315,486,24,222404,9893
06/05/2020,22550,1049,526,40,232582,10178
07/05/2020,24073,1523,564,38,244778,12196
08/05/2020,25837,1764,594,30,257247,12469
09/05/2020,27474,1637,618,24,270025,12778
10/05/2020,29465,1991,639,21,283517,13492
11/05/2020,30941,1476,667,28,294894,11377
12/05/2020,32081,1140,706,39,305851,10957
13/05/2020,34336,2255,737,31,317699,11848
14/05/2020,35788,1452,770,33,330750,13051
15/05/2020,37218,1430,803,33,344450,13700
16/05/2020,38799,1581,834,31,359264,14814
17/05/2020,40151,1352,873,39,373410,14146
18/05/2020,42125,1974,903,30,387335,13925
19/05/2020,43966,1841,939,36,400292,12957
20/05/2020,45898,1932,985,46,414254,13962
21/05/2020,48091,2193,1017,32,429600,15346
22/05/2020,50694,2603,1067,50,445987,16387
23/05/2020,52437,1743,1101,34,460692,14705
24/05/2020,54601,2164,1133,32,473607,12915
25/05/2020,56349,1748,1167,34,483656,10049
26/05/2020,57705,1356,1197,30,490908,7252
27/05/2020,59151,1446,1225,28,499399,8491
28/05/2020,61227,2076,1260,35,508086,8687
29/05/2020,64028,2801,1317,57,520017,11931
30/05/2020,66457,2429,1395,78,532037,12020
31/05/2020,69496,3039,1483,88,547030,14993
01/06/2020,72460,2964,1543,60,561136,14106
02/06/2020,76398,3938,1621,78,577974,16838
03/06/2020,80463,4065,1688,67,595344,17370
04/06/2020,85264,4801,1770,82,615511,20167
05/06/2020,89249,3985,1838,68,638323,22812
06/06/2020,93983,4734,1935,97,660508,22185
07/06/2020,98943,4960,2002,67,683608,23100
08/06/2020,103671,4728,2067,65,705833,22225
09/06/2020,108317,4646,2172,105,730453,24620
10/06/2020,113702,5385,2255,83,754252,23799
11/06/2020,119536,5834,2356,101,780825,26573
12/06/2020,125933,6397,2463,107,809169,28344
13/06/2020,132405,6472,2551,88,839019,29850
14/06/2020,139230,6825,2632,81,868565,29546
15/06/2020,144478,5248,2729,97,897650,29085
16/06/2020,148921,4443,2839,110,922665,25015
17/06/2020,154760,5839,2975,136,950782,28117
18/06/2020,160118,5358,3093,118,982012,31230
19/06/2020,165062,4944,3229,136,1011106,29094
20/06/2020,171666,6604,3382,153,1042787,31681
21/06/2020,176617,4951,3501,119,1071642,28855
22/06/2020,181088,4471,3590,89,1102162,30520
23/06/2020,185034,3946,3695,105,1126761,24599
24/06/2020,188926,3892,3755,60,1150141,23380
25/06/2020,192970,4044,3903,148,1171976,21835
26/06/2020,195745,2775,3962,59,1193017,21041
27/06/2020,198883,3138,4035,73,1214140,21123
28/06/2020,202955,4072,4118,83,1239153,25013
29/06/2020,206512,3557,4167,49,1262162,23009
30/06/2020,209337,2825,4304,137,1283092,20930
01/07/2020,213470,4133,4395,91,1305510,22418
02/07/2020,217809,4339,4473,78,1327638,22128
03/07/2020,221896,4087,4551,78,1350773,23135
04/07/2020,225283,3387,4619,68,1372825,22052
05/07/2020,228474,3191,4712,93,1398352,25527
06/07/2020,231818,3344,4762,50,1420623,22271
07/07/2020,234509,2691,4839,77,1445153,24530
08/07/2020,237489,2980,4922,83,1467104,21951
09/07/2020,240848,3359,4983,61,1491437,24333
10/07/2020,243599,2751,5058,75,1514858,23421
11/07/2020,246351,2752,5123,65,1538427,23569
12/07/2020,248872,2521,5197,74,1562638,24211
13/07/2020,251625,2753,5266,69,1585170,22532
14/07/2020,253604,1979,5320,54,1606190,21020
15/07/2020,255769,2165,5386,66,1627939,21749
16/07/2020,257914,2145,5426,40,1652183,24244
17/07/2020,259999,2085,5475,49,1676090,23907
18/07/2020,261917,1918,5522,47,1699101,23011
19/07/2020,263496,1579,5568,46,1721660,22559
20/07/2020,265083,1587,5599,31,1740768,19108
21/07/2020,266096,1013,5639,40,1758551,17783
22/07/2020,267428,1332,5677,38,1776882,18331
23/07/2020,269191,1763,5709,32,1799290,22408
24/07/2020,270400,1209,5763,54,1821296,22006
25/07/2020,271887,1487,5787,24,1844926,23630
26/07/2020,273113,1226,5822,35,1868180,23254
27/07/2020,274289,1176,5842,20,1909846,41666
28/07/2020,275225,936,5865,23,1931102,21256
29/07/2020,276288,1063,5892,27,1952730,21628
30/07/2020,277402,1114,5924,32,1973237,20507
31/07/2020,278305,903,5951,27,0,0
01/08/2020,278305,0,5951,0,2010170,
02/08/2020,278305,0,5951,0,2021196,11026
03/08/2020,280029,1724,5984,33,2031955,10759
04/08/2020,280461,432,5999,15,2043870,11915
05/08/2020,281136,675,6014,15,0,0
06/08/2020,281863,727,6035,21,2058872,
07/08/2020,282645,782,6052,17,2079333,20461
08/08/2020,283487,842,6068,16,2103699,24366
09/08/2020,284121,634,6082,14,2127089,23390
10/08/2020,284660,539,6097,15,2147584,20495
11/08/2020,285191,531,6112,15,2165811,18227
12/08/2020,285921,730,6129,17,2186442,20631
13/08/2020,286674,753,6139,10,2205664,19222
14/08/2020,287300,626,6153,14,2229409,23745
15/08/2020,288047,747,6162,9,2253131,23722
16/08/2020,288717,670,6168,6,2277153,24022
17/08/2020,289215,498,6175,7,2299601,22448
18/08/2020,289832,617,6190,15,2317213,17612
19/08/2020,289832,0,6190,0,2340072,22859
20/08/2020,290958,1126,6209,19,2363752,23680
21/08/2020,291588,630,6219,10,2389365,25613
22/08/2020,292174,586,6231,12,2414902,25537
23/08/2020,292765,591,6235,4,2439858,24956
24/08/2020,292765,0,6235,0,2463513,23655
25/08/2020,293711,946,6255,20,2487744,24231
26/08/2020,294193,482,6267,12,2512337,24593
27/08/2020,294638,445,6274,7,2535778,23441
28/08/2020,295053,415,6283,9,2559261,23483
29/08/2020,295372,319,6284,1,2581695,22434
30/08/2020,295636,264,6288,4,2603129,21434
31/08/2020,295849,213,6294,6,2621146,18017
01/09/2020,296149,300,6298,4,2642068,20922
02/09/2020,296590,441,6318,20,2662508,20440
03/09/2020,297014,424,6328,10,2684252,21744
04/09/2020,297512,498,6335,7,2707470,23218
05/09/2020,298025,513,6340,5,2732325,24855
06/09/2020,298509,484,6342,2,2757709,25384
